Company,Vehicle_ID,Type,Latitude,Longitude,Battery_Pct,Range_Miles,Is_Available,Is_Disabled,Is_Reserved
Veo,5c4db2fd-e6e0-5842-913a-a09ae4bcac0a,bicycle,39.95614,-82.972894,,28.14,True,False,False
Veo,0e17aee1-fa75-5648-836b-602fbb6c540c,bicycle,39.949778,-82.967273,,25.34,True,False,False
Veo,af08707d-4e7a-5101-98d6-6c8291898c02,scooter,40.000116,-83.008142,,13.86,True,False,False
Veo,76f4f99b-a68d-5e88-9a44-f1d0e632ecf2,bicycle,40.006886,-83.009272,,27.44,True,False,False
Veo,6b7aed76-f8b5-584f-9fb4-65ac6785788c,bicycle,40.003501,-83.015792,,24.33,True,False,False
Veo,f18af318-925f-54bd-ad7b-9892c48dc065,scooter,40.000238,-83.018055,,27.77,True,False,False
Veo,66b090cd-84a5-57a4-b5bf-0980a034491e,scooter,39.990786,-83.006215,,25.94,True,False,False
Veo,531e498a-0470-54a1-8dfe-8a65b6ee242b,scooter,39.975831,-83.0013,,25.12,True,False,False
Veo,f9bf7018-ec5f-5323-80a4-7186dd48dc4f,scooter,40.100736,-83.115363,,27.44,True,False,False
Veo,041b8710-999a-54e2-9181-fe904a41c801,scooter,39.998133,-83.016585,,18.19,True,False,False
Veo,2008235,scooter,40.000273,-83.017968,,27.77,True,False,False
Veo,e0b1e755-fcd6-5d95-ac4a-c498d18c9409,bicycle,40.023764,-83.03151,,24.84,True,False,False
Veo,8e50397a-7fbf-5013-b616-6780ce187125,bicycle,40.00071,-83.02156,,27.44,True,False,False
Veo,17a9f960-adcc-5a4a-8b7b-b48ad67639fe,scooter,39.964786,-82.968953,,15.45,True,False,False
Veo,feef28fd-b6c2-523f-ac29-1f356285a260,bicycle,39.957505,-82.956011,,14.61,True,False,False
Veo,581060bd-554b-504f-9344-a8e8ad97d1ca,scooter,40.003986,-83.017368,,7.29,True,False,False
Veo,756a0084-7aab-5fd8-9e61-c60b740aa421,bicycle,39.986281,-82.919313,,22.39,True,False,False
Veo,0842923a-caef-57a9-ab51-43b6a48aa62b,scooter,39.953543,-83.032954,,28.14,True,False,False
Veo,32727703-b984-53c1-83fc-9716f6f70d3b,bicycle,40.009542,-83.009424,,19.39,True,False,False
Veo,21f69c62-fa6e-5e29-82b0-7b9e2c99d525,scooter,39.994004,-83.013576,,21.49,True,False,False
Veo,e18a33f7-73a7-51e4-9baa-db4bdf2b6e04,bicycle,40.004602,-83.014456,,23.77,True,False,False
Veo,771e4061-945b-5548-9959-20b3d081f7f2,scooter,39.980164,-82.996757,,28.14,True,False,False
Veo,2d60e7fd-668e-5f90-a2e4-6af9a061469e,bicycle,39.978238,-82.997309,,9.02,True,False,False
Veo,993b7ebe-91a7-5ee9-8687-a42830282d20,bicycle,39.944823,-82.979103,,6.67,True,False,False
Veo,54946dd2-d72b-5556-bd1f-1715b404533e,bicycle,40.010801,-83.047598,,9.29,True,False,False
Veo,8774f51e-9c48-545b-b5af-8c197860aada,bicycle,39.950101,-82.955966,,20.05,True,False,False
Veo,1987b11e-d888-584b-90fc-905562e2e653,bicycle,39.973083,-82.993437,,27.02,True,False,False
Veo,53d37fb9-b618-5e91-846a-88869fbb974f,scooter,39.949138,-82.957558,,18.19,False,False,True
Veo,e5fd70e3-3be1-58ee-be93-2c1bd6ecd147,scooter,40.000222,-83.018109,,25.12,True,False,False
Veo,d825ce62-4bf9-50f0-9d21-90a03a8fe05d,scooter,39.995285,-83.030868,,1.15,True,False,False
Veo,59952a75-38f7-52b3-bcc1-eccd4f4150f9,bicycle,40.005463,-83.011193,,13.1,True,False,False
Veo,3ec498e8-6227-56e4-a21c-0b888960ff6d,bicycle,39.996026,-83.020264,,7.29,True,False,False
Veo,4a7e4ce6-7ef9-50c9-9f22-9d1f83c3eaab,bicycle,39.941486,-82.962241,,23.02,True,False,False
Veo,f63efc82-a886-5e13-b87b-75d9938918ec,scooter,39.999364,-82.976273,,14.61,True,False,False
Veo,1a8f3adc-2753-509d-8dcb-3ae7a02340c2,scooter,39.995235,-83.001363,,28.14,True,False,False
Veo,9ce9adac-a71c-5b94-8541-a62b9f0881b6,bicycle,39.963575,-83.001208,,20.37,True,False,False
Veo,93139de0-6957-5ebf-a409-c788f7248dcb,bicycle,40.066861,-83.078066,,28.01,True,False,False
Veo,1125f5c4-48bb-5baa-afcd-df50c4e9a840,bicycle,39.976334,-83.010886,,28.14,True,False,False
Veo,159f8fae-3b9b-544c-9179-bae0a834d606,bicycle,40.102394,-83.109622,,5.03,True,False,False
Veo,80ea3be2-a499-58ea-b1fe-00d860dc90bc,scooter,40.000483,-82.976708,,12.07,True,False,False
